what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468812509374
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468812551212
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468812569222
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1468812579058
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468812616577
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1468812619649
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468812625975
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468812666524
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468812667235
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468812754930
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468812762045
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468812881306
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1468812882189
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1468812942818
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1468812964510
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1468812971865
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468812982019
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468812990764
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468813023148
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468813036977
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468813049268
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468813051746
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1468813076825
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1468813078024
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1468813079933
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1468813092471
